Subject_ID,Overall_Status,Sbref_Direction,IntendedFor,DWI_Parameters,File_Properties,Missing_Files,Extra_Files,DWI_Version,ASL_Version,M0scan_Status,Total_Missing_Files,Total_Extra_Files,DWI_Dimensions,DWI_TR,RevB0_Dimensions,RevB0_TR,ASL_Dimensions,ASL_TR,Missing_Files_Detail,Extra_Files_Detail,Property_Issues_Detail,DWI_Parameter_Issues
sub-0238,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0259,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0263,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0285,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0286,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0302,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0382,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0385,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0528,HAS ISSUES,INCORRECT,INCORRECT,INCORRECT,CORRECT,INCORRECT,INCORRECT,UNKNOWN,UNKNOWN,SEPARATE,28.0,2.0,N/A,N/A,N/A,N/A,N/A,N/A,"FLAIR_nii, FLAIR_json, AP_run-01_bold_nii, AP_run-01_bold_json, AP_run-02_bold_nii, AP_run-02_bold_json, PA_run-01_bold_nii, PA_run-01_bold_json, PA_run-02_bold_nii, PA_run-02_bold_json, AP_run-01_sbref_nii, AP_run-01_sbref_json, AP_run-02_sbref_nii, AP_run-02_sbref_json, PA_run-01_sbref_nii, PA_run-01_sbref_json, PA_run-02_sbref_nii, PA_run-02_sbref_json, func_PA_run-01_epi_nii, func_PA_run-01_epi_json, dwi_PA_run-02_epi_nii, dwi_PA_run-02_epi_json, dwi_nii, dwi_json, dwi_bvec, dwi_bval, asl_nii, asl_json","sub-0528_ses-01_dir-PA_epi.nii.gz, sub-0528_ses-01_dir-PA_epi.json",,
sub-0593,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0678,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0683,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0684,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0686,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0687,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0689,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0694,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0695,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0697,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0698,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0699,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0701,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0703,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0704,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0705,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0706,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0708,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0712,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0713,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0715,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0716,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0717,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0718,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0720,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0721,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
sub-0722,Validation Not Found,,,,,,,,,,,,,,,,,,,,,
